ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw:  841  |  20.5 %  [DARK]
  ADC raw:  804  |  19.6 %  [DARK]
  ADC raw:  808  |  19.7 %  [DARK]
  ADC raw:  814  |  19.9 %  [DARK]
  ADC raw:  848  |  20.7 %  [DARK]
  ADC raw:  809  |  19.8 %  [DARK]
  ADC raw:  806  |  19.7 %  [DARK]
  ADC raw:  806  |  19.7 %  [DARK]
  ADC raw:  809  |  19.8 %  [DARK]
  ADC raw:  792  |  19.3 %  [DARK]
  ADC raw:  842  |  20.6 %  [DARK]
  ADC raw:  891  |  21.8 %  [DARK]
  ADC raw:  828  |  20.2 %  [DARK]
  ADC raw:  855  |  20.9 %  [DARK]
  ADC raw:  879  |  21.5 %  [DARK]
  ADC raw:  815  |  19.9 %  [DARK]
  ADC raw:  812  |  19.8 %  [DARK]
  ADC raw:  819  |  20.0 %  [DARK]
  ADC raw:  796  |  19.4 %  [DARK]
  ADC raw:  848  |  20.7 %  [DARK]
  ADC raw:  862  |  21.1 %  [DARK]
  ADC raw:  867  |  21.2 %  [DARK]
  ADC raw:  841  |  20.5 %  [DARK]
  ADC raw:  820  |  20.0 %  [DARK]
  ADC raw:  823  |  20.1 %  [DARK]
  ADC raw:  823  |  20.1 %  [DARK]
  ADC raw:  814  |  19.9 %  [DARK]
  ADC raw:  793  |  19.4 %  [DARK]
  ADC raw:  817  |  20.0 %  [DARK]
  ADC raw:  861  |  21.0 %  [DARK]
  ADC raw:  855  |  20.9 %  [DARK]
  ADC raw:  856  |  20.9 %  [DARK]
  ADC raw:  866  |  21.1 %  [DARK]
  ADC raw:  859  |  21.0 %  [DARK]
  ADC raw:  858  |  21.0 %  [DARK]
  ADC raw:  863  |  21.1 %  [DARK]
  ADC raw:  827  |  20.2 %  [DARK]
  ADC raw:  812  |  19.8 %  [DARK]
  ADC raw:  811  |  19.8 %  [DARK]
  ADC raw:  821  |  20.0 %  [DARK]
  ADC raw:  812  |  19.8 %  [DARK]
  ADC raw:  810  |  19.8 %  [DARK]
  ADC raw:  810  |  19.8 %  [DARK]
  ADC raw:  808  |  19.7 %  [DARK]
  ADC raw:  808  |  19.7 %  [DARK]
